iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; BF_D_ok; BF_D_time; TS_R_ok; TS_R_time; BF_R_ok; BF_R_time; 
0; 13; 50; 46; 59; 1; 0; 1; 1; 1; 0; 1; 5; 
0; 13; 60; 41; 53; 1; 21; 0; 0; 1; 0; 1; 46; 
0; 13; 70; 55; 71; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 13; 80; 71; 91; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 13; 90; 78; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 13; 100; 72; 92; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 13; 110; 78; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 13; 120; 78; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 13; 130; 78; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 13; 140; 78; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 13; 150; 78; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 14; 30; 14; 15; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 14; 40; 35; 38; 0; 0; 0; 0; 1; 29; 0; 0; 
0; 14; 50; 49; 54; 0; 0; 0; 0; 1; 0; 1; 0; 
0; 14; 60; 53; 58; 1; 24; 0; 0; 1; 0; 0; 0; 
0; 14; 70; 69; 76; 1; 0; 0; 0; 1; 0; 1; 1; 
0; 14; 80; 69; 76; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 14; 90; 82; 90; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 14; 100; 89; 98; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 14; 110; 91; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 14; 120; 91; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 14; 130; 91; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 14; 140; 91; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 14; 150; 91; 100; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 15; 30; 23; 22; 0; 0; 0; 0; 1; 12; 0; 0; 
0; 15; 40; 31; 30; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 15; 50; 49; 47; 0; 0; 1; 0; 1; 18; 1; 1; 
0; 15; 60; 59; 56; 1; 10; 1; 0; 1; 1; 1; 2; 
0; 15; 70; 80; 76; 1; 0; 1; 1; 1; 0; 1; 8; 
0; 15; 80; 93; 89; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 15; 90; 95; 90; 1; 0; 1; 1; 1; 0; 1; 184; 
0; 15; 100; 105; 100; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 15; 110; 104; 99; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 15; 120; 105; 100; 1; 0; 1; 1; 1; 1; 1; 1; 
